…分之… | Fraction
气冲斗牛 | Like a raging bull
气割 | Plasma cutting
气力 | Strength
气功 | Qigong
气势 | Momentum
气势不凡 | Extraordinary momentum
气势如虹 | Like a Rainbow
气势汹汹 | Full of aggression
气势磅礴 | Magnificent
气势雄伟 | Grand and Magnificent
气化 | gasify
气区 | Meteorological district
气压 | Atmospheric pressure
气压表 | Barometer
气压计 | Barometer
气吞山河 | To swallow the mountains and rivers
气味 | Smell
气喘 | Short of breath
气喘吁吁 | Gasping for breath
气囊 | Air sacs
气垫船 | hovercraft
气壮山河 | With great courage and might
气头上 | in a fit of anger
气如 | As if
气孔 | Stomata
气孔率 | Porosity
气密性 | Gas tightness
气度 | Dignity
气度不凡 | Noble bearing
气得 | Angry
气得用 | Furious to the point of
气态 | Gaseous
气急败坏 | In a rage
气息 | Breath
气恼 | Angry
气愤 | Angry
气敏 | Sensitive to gas
气旋 | Cyclone
气昂昂 | With lofty spirits
气来 | - Often used idiomatically for a sudden surge of emotion or energy
气概 | Bearing
气死 | To make someone furious
气死我 | Make me furious
气氛 | Atmosphere
气氧 | Gas and oxygen
气泡 | Bubble
气派 | Style
气流 | Airflow
气温 | Temperature
气溶胶 | Aerosol
气焊 | Gas welding
气焰 | Demeanor
气球 | Balloon
气瓶 | Cylinder
气盛 | Intense anger
气管 | Trachea
气缸 | Cylinder
气者 | Those who are irritable
气耳亡 | Death by earache
气自华 | The spirit will naturally flourish
气色 | Complexion
气节 | Moral character
气象 | Meteorology
气象万千 | Ever-changing
气象卫星 | Meteorological satellite
气象台 | Meteorological station
气象学 | Meteorology
气象学家 | Meteorologist
气象局 | weather bureau
气质 | Temperament
气贯 | Air flows
气量 | Magnanimity
气门 | Valve
气闷 | Stifled
气韵 | Rhythm and rhyme
气馁 | Discouraged
气魄 | Spirit
氖气 | Neon
氖管 | Neon tube
氘核 | Deuterium nucleus
氛围 | Atmosphere
氟利昂 | Freon
氟化 | Fluoridation
氟化氢 | Hydrofluoric acid
氟化物 | Fluoride
氟氯 | Chlorofluorocarbon
氟氯烃 | Chlorofluorocarbons
氢化 | Hydrogenation
氢原子 | Hydrogen atom
氢弹 | Hydrogen Bomb
氢核 | Hydrogen nucleus
氢气 | Hydrogen
氢氟酸 | Hydrofluoric acid
氢氧 | Hydrogen oxide
氢氧化钙 | Calcium hydroxide
氢氧化钠 | Sodium hydroxide
氢氧化钾 | Potassium hydroxide
氢氧化铁 | Ferrous hydroxide
氢氧化铜 | Copper oxide
氢氧化铝 | Aluminium hydroxide
氢氧根 | Hydroxide
氢能 | Hydrogen energy
氢键 | Hydrogen bond
氦氖 | Helium-neon
氧为价 | Oxygen as the charge
氧分子 | Oxygen molecule
氧到 | Oxygen available
氧化 | Oxidation
氧化剂 | Oxidant
氧化汞 | Mercury oxide
氧化物 | Oxide
氧化硫 | Oxidation of sulfur
氧化还原 | Redox
氧化钙 | Calcium oxide
氧化铁 | Iron oxide
氧化铜 | Copper Oxide
氧化铝 | Aluminum oxide
氧化银 | Silver oxidation
氧化锰 | Manganese oxide
氧化镁 | Magnesium Oxide
氧原子 | Oxygen atom
氧向 | Oxygen direction
氧气 | Oxygen
氧气瓶 | Oxygen tank
氧氢氯钠 | Sodium Hydroxide
氧甲瓶 | Oxygen Bottle A
氧而 | Oxygen
氨基 | Amino
氨基酸 | Amino acid
氨气 | Ammonia
氨水 | Ammonium hydroxide
氮气 | Nitrogen
氮氧化物 | Nitrogen oxides
氮氯硫 | Nitrogen chloride sulfur
氮磷 | Nitrogen and phosphorus
氮肥 | Nitrogen fertilizer
氯仿 | Chloroform
氯化 | Chlorination
氯化氢 | Hydrogen chloride
氯化物 | Chloride
氯化钙 | Calcium Chloride
氯化钠 | Sodium chloride
氯化钾 | Potassium Chloride
氯化铝 | Aluminium chloride
氯化铵 | Ammonium chloride
氯化锌 | Zinc chloride
氯气 | Chlorine gas
氯氟烃 | Chlorofluorocarbon
氯氧硫 | Chlorine oxygen sulfur
氯离子 | Chlorine ion
氯酸钾 | Potassium chlorate
氰化钾 | Potassium cyanide
氰酸 | Cyanic acid
水上 | Underwater
水下 | Underwater
水中 | In water
水乡 | Water town
水乳交融 | Harmonious
水五 | Water five
水井 | Water well
水产 | Aquatic Products
水产品 | Aquatic product
水从 | Water comes from
水从象 | Water from the elephant
水仙 | Narcissus
水代兵 | Water army
水以 | Water with
水价 | Water price
水会 | Water is rising
水位 | Water Level
水位图 | Water level chart
水体 | Water body
水何 | How water
水使 | Watering
水便 | Water pouch
水俣湾 | Minamata Bay
水倒 | Water flowing out
水再 | Water replenishment
水冒 | Water splashing
水准 | Level
水击 | Artillery attack
水凿 | Carved by water
水分 | Moisture
水分子 | Water molecules
水利 | Water conservancy
水利工程 | Water conservancy projects
水利建设 | Water conservancy construction
水到 | Water has arrived
水到渠成 | Where there's a will
水力 | Hydroelectric power
水力发电 | Hydroelectric power generation
水力发电站 | Hydroelectric power station
水力资源 | Hydropower resources
水势 | Shuǐshì - Water flow
水北 | Water flows north
水南为 | Water flows south
水压机 | Hydraulic press
水变 | Water changed
水吃处 | Place to drink water
水合 | Hydration reaction
水合物 | Hydrate
水同 | Same River
水名 | 
水后 | After Water
水向 | Water flow
水周 | Water week (likely a specific reference
水和油 | Water and oil
水喝 | Drinking water
水图 | Hydrological map
水圈 | Water cycle
水土 | Soil and Water
水土保持 | Soil and water conservation
水土流失 | Soil erosion
水在 | Water is
水坑 | Puddle
水坝 | Dam
水垢 | Scale
水城 | Water City
水域 | Waters
水基 | Water-based
水塔 | Water tower
水塘 | Pond
水墨 | Ink wash painting
水墨画 | Ink wash painting
水声 | Sound of water
水壶 | Kettle
水多收 | More water
水天 | Water and sky
水如图 | As shown in the figure
水字 | Water script
水对 | Water-related
水封 | Water seal
水就会 | When water
水尽鹅飞 | Water dries up
水层 | Water layer
水山 | Mountains and rivers
水山山 | Mountains and mountains
水岭岭 | Water Ridge
水岸 | Shore of the water
水巷 | Water lane
水师 | Naval fleet
水帘 | Water curtain
水幕 | Water curtain
水干 | Water dried up
水平 | Level
水平线 | Horizontal Line
水平面 | Level surface
水库 | Reservoir
水底 | Underwater
水当 | Water as a measure
水彩画 | Watercolor painting
水彩画家 | Watercolor painter
水彩笔 | Watercolor brush
水循环 | Water cycle
水性 | Swimming ability
水慢 | 
水户 | Water Town
水手 | Sailor
水把切 | Water cuts
水拦 | Water stoppage
水挂 | Water hanging
水指 | Water Reflection
水挡 | Water barrier
水排 | Drain water
水族 | Shui族
水族箱 | Aquarium
水族馆 | Aquarium
水日 | Water day (likely a specific reference
水旱 | Flood and drought
水时 | Time for water (e.g.
水星 | Mercury
水是 | Water is
水晶 | Crystal
水晶宫 | Crystal Palace
水暖鸭 | Water warms ducks
水有 | Water has
水杉 | Red pine
水来 | Water coming
水杨酸 | Salicylic acid
水杯 | Water pitcher
水果 | Fruit
水果店 | Fruit Shop
水枪 | Water gun
水柜 | Water Cabinet
水柱 | Water column
水桶 | Bucket
水槛 | Water balustrade
水槽 | Sink
水母 | Jellyfish
水民 | Common people
水气 | Humidity
水水 | 
水池 | Water Pool
水污染 | Water pollution
水汽 | Steam
水沟 | Drainage ditch
水河 | River
水泄不通 | Water cannot flow through
水泊 | Water town
水泊梁山 | Yellow Crane Ridge
水泡 | Air bubbles
水波 | Ripples
水波不兴 | Water remains still
水波荡漾 | Ripples on the water
水泥 | Cement
水泥厂 | Cement factory
水泥墙 | Concrete wall
水泥浆 | Cement paste
水泥砂浆 | Cement mortar
水泵 | Water Pump
水洋陆 | Water
水洗 | Wash with water
水洼 | Puddle
水流 | Water flow
水流声 | Sound of flowing water
水流量 | Water flow
水浇上 | Water is poured on
水浒 | Water Margin
水浒传 | 
水浴加 | Water bath addition
水浸 | Flood
水涨船高 | Rise with tide
水淀粉 | Water-iodine solution
水深 | Water depth
水淹 | Flooded
水渠 | Irrigation channel
水温 | Water temperature
水源 | Water source
水源林 | Water source forest
水溶性 | Water-soluble
水溶液 | Aqueous Solution
水满 | The water is full
水滴 | Water droplet
水漫 | Flooding Water
水火 | Fire and water
水灵灵 | Fresh and juicy
水灾 | Flood
水热 | Water and heat
水煤气 | Synthetic gas
水牌 | A fake
水牛 | Water buffalo
水玻璃 | Water glass
水珠 | Water droplets
水珠子 | Water droplets
水球 | Water polo
水瓶 | Water bottle
水甘弱 | Water sweet and weak
水生 | Aquatic plants
水生动物 | Aquatic Animals
水生成 | Water generation
水生植物 | Aquatic plants
水用 | Water use
水田 | Paddy field
水甲 | Water A
水电 | Hydroelectric power
水电站 | Hydroelectric Power Station
水疱 | Blister
水痘 | Chicken pox
水皆缥碧 | The water is azure blue
水盆 | Water basin
水盘 | Water plate
水直 | Straight water
水砂纸 | Wet sandpaper
水砌 | Water-brick
水磨 | Water Mill
水稻 | Rice
水空 | Empty water
水立方 | Water Cube
水等 | Water and others
水管 | Water pipe
水箱 | Water tank
水粉 | Watercolor powder
水粉画 | Watercolor
水系 | Drainage system
水约 | Approximately water
水纹 | Skin texture
水经注 | Records of the Grand Canal
水结 | Water freezes
水给 | Water for
水绵 | Waternet
水缸 | Water jar
水网 | Water network
水而美 | Beautiful because of water
水肿 | Swelling
水能 | Water can
水膜 | Water film
水色 | Water color
水花 | Ripple
水草 | Water Plants
水落 | Shuǐluò
水落石出 | Come to light
水葫芦 | Water hyacinth
水蒸 | Water vapor
水蒸气 | Water vapor
水藻 | Aquatic algae
水蚤 | Copepod
水蛭 | Leech
水螅 | Planarians
水表 | Water Meter
水解 | hydrolysis
水试 | Water test
水调歌头 | Water Melody Ending
水货 | Parallel goods
水质 | Water quality
水费 | Water fee
水资源 | Water resources
水路 | Waterway
水车 | Water Wheel
水轮机 | Water turbine
水边 | By the water’s edge
水过 | Water has passed
水运 | Water Transport
水连 | Water flowing continuously
水通 | Water flow
水速 | Speed of Water
水道 | Waterway
水里 | In the water
水里会 | Will be in water
水里游 | Swimming in the water
水量 | Suiliao
水铁 | Water and iron
水铝 | Guohua
水银 | Quicksilver
水银柱 | Mercury column
水镇 | Water town
水门 | Water gate
水阁 | Water pavilion
水陆 | Water and Land
水陆交通 | Water and land transportation
水雷 | Naval mine
水雾 | Mist
水霜重 | Heavy water and frost
水面 | Water surface
水面舰艇 | Surface Ships
水音 | The sound of water
水鸟 | Water bird
水鸭 | Water duck
水龙 | Dragon
水龙吟 | Water Dragon Song
水龙头 | Faucet
永不 | Never
永不磨灭 | Unforgettable
永不言弃 | Never give up
永不言败 | Never admit defeat
永世 | Eternally
永丰 | Yongfeng
永久 | Permanent
永乐 | Yongle
永兴 | Yongxing Island
永别 | Farewell
永动机 | Perpetual motion machine
永和 | Yonghe
永善 | Yongshan
永嘉 | Yongjia
永垂不朽 | Immortal
永城 | Yongcheng
永字 | Eternity character
永存 | Forever
永宁县 | Yongning County
永安 | Eternal Peace
永定河 | Yongding River
永定门 | Yongdingmen
永定门外 | Outside Yongding Gate
永寿 | Longevity
永寿县 | Yongshou County
永居 | Permanent residence
永川 | Yongchuan
永州 | Yongzhou
永平 | Yongping
永年 | Eternally
永康 | Yongkang
永德 | Yongde
永恒 | Eternal
永新 | Yongxin
永无 | Never
永无止境 | Endless
永昌 | Yongchang
永春 | Yongchun
永泰 | Yongtai
永济 | Eternal life
永磁体 | Permanent magnet
永福 | Yongfu
永续 | Sustainable
永胜 | Yongsheng
永葆 | Perpetuate
永远 | Forever
永顺 | Eternal Prosperity
永驻 | Enduring
汀小洲 | Shallow marsh
汀泗桥 | Ting Si Bridge
汀洲 | Sandbar
汁水 | Juice
汁液 | Juice
求个 | Asking for something
求之不得 | Unable to obtain it
求于 | Seeking
求人 | To ask someone
求仕 | To seek official appointment
求仙 | Seeking immortality
求作 | "Construct"
求值 | Evaluate
求偶 | Seeking a partner
求全 | To seek perfection
求出 | Obtain
求前 | Seek forward
求助 | Ask for help
求助于 | Seeking help
求助者 | Applicant
求医 | Seek medical treatment
求取 | Seeking and Obtaining
求同 | To seek common ground
求同存异 | Seek common ground while reserving differences
求和 | Summation
求图 | Draw Diagram
求圆 | Seeking a circle
求婚 | Propose marriage
求学 | Study
求富 | To seek wealth
求小 | Find the small one
求得 | Achieve
求情 | To plead
求所 | To obtain
求援 | Request help
求救 | Ask for help
求教 | Qiu Jiao
求新 | Seek innovation
求根 | Radical
求法 | Method of solution
求生 | Survival
求真 | Seeking Truth
求真务实 | Seek Truth and Practice
求知 | Seeking knowledge
求知欲 | Qiu Zhi Yu
求神拜佛 | Seeking divine help through prayer and worship
求美 | Aspiring to beauty
求职 | Job hunting
求船 | To seek a ship
求解 | Solve
求证 | Verify
求诸人 | Seeking from others
求诸己 | Seeking from oneself
求贤 | Seeking talented officials
求贤若渴 | Eager for talent
求较 | To compare
求达 | To achieve
求闻 | Eager to learn
汇东 | Flowing east
汇印 | Consolidated Seal
汇合 | Converge
汇合处 | Meeting point
汇徽江 | Huijihuang River
汇总 | To summarize
汇总表 | Summary table
汇成 | Consolidated
汇报 | Report
汇报工作 | Report on Work
汇款 | Remit money
汇海 | Gather into the sea
汇率 | Exchange rate
汇纂 | Collection
汇编 | Compilation
汇编语言 | Assembly language
汇聚 | Gather
汇辑 | Compilation
汇集 | Gather
汉中 | Hanzhong
汉乐府 | Tang Dynasty Poetry Collection
汉书 | Han Shu
汉人 | Han Chinese person or people
汉代 | Han Dynasty
汉军 | Han army
汉初 | Early times
汉化 | Chinese localization
汉北 | Northern Han
汉口 | Han口
汉名 | Han Name
汉园集 | Han Garden Collection
汉城 | Seoul
汉堡 | Hamburger
汉堡包 | Hamburger
汉墓 | Han Tomb
汉奸 | Japanese collaborator
汉子 | Man
汉字 | Chinese character
汉室 | Han Dynasty
汉宫 | Imperial Palace
汉宫秋 | Autumn in the Imperial Palace
汉密尔顿 | Hamilton
汉尼拔 | Hannibal
汉文 | Classical Chinese
汉文帝 | Han Wudi
汉族 | Han nationality
汉景帝 | Han Jingdi
汉朝 | Han Dynasty
汉朝人 | People of the Han Dynasty
汉末 | Late Han Dynasty
汉武帝 | Emperor Wu of Han
汉水 | Han River
汉水流域 | Han River Basin
汉江 | Han River
汉满 | Han and Manchu
汉献帝 | Emperor Wu of Han
汉白玉 | Bian Stone
汉等 | Hans
汉苗 | Han- Miao
汉英 | Sino-English
汉译 | Chinese translation
汉语 | Chinese
汉语拼音 | Chinese Pinyin
汉诺威 | Hanover
汉谟拉 | Hammurabi
汉阳 | Hanyang
汉阳区 | Han Yang District
汉阳铁 | Hanyang Iron
汉阴 | Han Yin
汉高祖 | Emperor Gaozu of Han
汕头 | Shantou
汕头市 | Shantou
汗国 | Tumultuous State
汗水 | Sweat
汗流浃背 | To perspire profusely
汗流满面 | Sweating profusely
汗液 | Sweat
汗滴 | Sweat drops
汗滴禾下土 | Sweat drips under the soil
汗血 | Blood sweat
汗诺 | Han Nu
汗青 | Hot bronze (referring to ancient weapons
汗马功劳 | Glory earned through tireless effort
汛期 | Flood season
汝休 | You rest
汝南 | Rinan County
汝州 | Ruzhou
汝心 | Your heart
汝若 | If you would
江上 | On the river
江东 | Eastern Jiang
